"nrounds","eta","max_depth","colsample_bytree","min_child_weight","rmse_xgb_train","rmse_xgb_test"
1500,0.008,6,0.75,5,0.0432357540449074,0.131359459937515
800,0.01,6,0.75,5,0.0602376372957988,0.131567453944473
1000,0.01,6,0.75,5,0.0501213297028385,0.132470724587529
1200,0.01,6,0.75,5,0.0421353789802095,0.131255756084783
1500,0.01,6,0.75,5,0.0348008454530904,0.131343208363213
800,0.001,8,0.75,5,5.42101947671551,5.40048352789845
1000,0.001,8,0.75,5,4.44250992768893,4.42348763458108
1200,0.001,8,0.75,5,3.64146299569071,3.62313313259406
1500,0.001,8,0.75,5,2.70396011689256,2.6866178128035
800,0.005,8,0.75,5,0.250278122387211,0.260021100015572
1000,0.005,8,0.75,5,0.11702878107226,0.15708880771048
1200,0.005,8,0.75,5,0.0723033360853819,0.135569280195955
1500,0.005,8,0.75,5,0.0515645113200109,0.131136600175741
800,0.008,8,0.75,5,0.0639095011121883,0.133376905888852
1000,0.008,8,0.75,5,0.0468398934761757,0.131118549965379
1200,0.008,8,0.75,5,0.0388719399776832,0.130134161068665
1500,0.008,8,0.75,5,0.0287695970722954,0.130016618773717
800,0.01,8,0.75,5,0.047189335325047,0.131581086438021
1000,0.01,8,0.75,5,0.0356893779323451,0.130628414612004
1200,0.01,8,0.75,5,0.0298174750094559,0.129746439806101
1500,0.01,8,0.75,5,0.0211374813958134,0.129833037861443
800,0.001,5,0.9,5,5.42099329148263,5.40059813850977
1000,0.001,5,0.9,5,4.44245729507562,4.42363930473839
1200,0.001,5,0.9,5,3.64141770057859,3.62323072440215
1500,0.001,5,0.9,5,2.70389584004615,2.68671358714907
800,0.005,5,0.9,5,0.251772684458434,0.259459331508264
1000,0.005,5,0.9,5,0.125865878816933,0.158746255146721
1200,0.005,5,0.9,5,0.0876650407926754,0.137920235560693
1500,0.005,5,0.9,5,0.0713490903885548,0.133415347969963
800,0.008,5,0.9,5,0.081251741267868,0.13612111486676
1000,0.008,5,0.9,5,0.0685532271303409,0.132549485671216
1200,0.008,5,0.9,5,0.0610484122259172,0.131765943485108
